ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Researcher,Metadata_Series,Metadata_Well,FileName_RawImage,FileName_WellMask,PathName_RawImage,PathName_WellMask,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity
33,3,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_D05.TIF,0,p01,NJW,0,D05,TimePoint_1/202111125-p01-NJW_D05.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,3890,4515,63,222,42,7,52.00282776349614,113.73933161953728,4.534216586611528,0.9951117162391308,70.37685577673801,1,0.8615725359911407,0.2205452652951701,224.69885373010084,214.02102700435768,11.0,5.0679710221843495,5.0,20.0,22.19027429716955,-0.0903217164994142,470.79393923934,0.9593094944512947
33,4,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_D05.TIF,0,p01,NJW,0,D05,TimePoint_1/202111125-p01-NJW_D05.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,5010,5817,84,284,63,7,73.04630738522954,144.6307385229541,5.663144946538414,0.9971071724028217,79.86820468198322,1,0.8612686952037133,0.1765803293823952,290.61012453916845,276.0163038662753,11.0,5.097902212749948,5.0,20.0,22.088829462845734,0.03940818249206345,597.1076477383247,0.9548313321898227
33,5,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_D05.TIF,0,p01,NJW,0,D05,TimePoint_1/202111125-p01-NJW_D05.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,3194,3738,105,185,84,7,94.06731371321227,96.00657482780213,3.7027617784759053,0.9928377894697704,63.7708954452116,1,0.8544676297485286,0.27006868381676186,185.09396763905463,177.00282483621552,11.0,5.074608541639632,5.0,20.0,22.1132095467398,0.16673882592601696,385.50966799187813,0.9554292551600359
33,6,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_D05.TIF,0,p01,NJW,0,D05,TimePoint_1/202111125-p01-NJW_D05.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,3656,4326,126,213,105,7,114.55552516411379,109.32138949671773,4.534358598140815,0.994875055005837,68.22729494529118,1,0.8451225150254277,0.22053835804032382,215.43487814095747,205.0,10.198039027185569,4.982802840635363,5.0,20.0,21.783039022811806,0.053925216152164564,456.4213562373095,0.9503509227969846
33,7,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_D05.TIF,0,p01,NJW,0,D05,TimePoint_1/202111125-p01-NJW_D05.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,4975,5775,147,282,126,7,136.01628140703517,144.05326633165828,5.592194712297666,0.9970733263595537,79.58873497585844,1,0.8614718614718615,0.1788206690659256,288.7163203787285,274.0164228654918,11.0,5.095925712251093,5.0,20.0,22.07270137460527,-0.035048768616542304,591.2792206135786,0.9506974966558379
33,8,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_D05.TIF,0,p01,NJW,0,D05,TimePoint_1/202111125-p01-NJW_D05.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,4156,4830,168,237,147,7,156.84239653512992,121.24085659287776,4.944213582034723,0.995768664207192,72.74327149585271,1,0.8604554865424431,0.20225663463115678,240.92123970407832,229.0087334579186,11.0,5.053383907952996,5.0,20.0,22.139557416345507,-0.2336997859476726,508.14927829866735,0.957824383498502
33,9,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_D05.TIF,0,p01,NJW,0,D05,TimePoint_1/202111125-p01-NJW_D05.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,5133,5943,189,290,168,7,178.03136567309565,147.15390609779857,6.16721481366964,0.9971811624441915,80.84267798091297,1,0.8637051993942453,0.16214774905902396,296.13279482621965,282.0,11.0,5.072225509094777,5.0,20.0,22.219294256277298,0.09048341548293723,630.7178207935912,0.95747062115277
33,10,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_D05.TIF,0,p01,NJW,0,D05,TimePoint_1/202111125-p01-NJW_D05.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,4746,5481,210,268,189,7,199.07690686894227,137.81774125579435,5.4300811058041,0.9967206910965521,77.73541586248241,1,0.8659003831417624,0.18415931189888138,274.3860294917552,260.0076921939041,11.0,5.07399192290123,5.0,20.0,22.20300815884218,0.07754940415146067,569.0782104868019,0.9555063418562513
33,11,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_D05.TIF,0,p01,NJW,0,D05,TimePoint_1/202111125-p01-NJW_D05.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,4409,5103,231,250,210,7,219.95667951916533,128.46541165797234,5.247864086811966,0.9962154628007925,74.92471656761427,1,0.8640015677052714,0.19055371546550318,254.835190068919,242.0185943269649,11.0,5.055095139407827,5.0,20.0,22.149784038292854,-0.006071854128806356,539.2203461105328,0.9580617122990004
33,12,20211112,file:/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1/202111125-p01-NJW_D05.TIF,0,p01,NJW,0,D05,TimePoint_1/202111125-p01-NJW_D05.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_36218/input/202111125-p01-NJW_1014/TimePoint_1,/var/lib/condor/execute/slot1/dir_36218/Core_imgproc/cp_pipelines/masks,4494,5250,252,257,231,7,240.77614597240765,131.3090787716956,5.2404221269118745,0.9964249472261566,75.64349617805765,1,0.856,0.1908243221217924,261.1980968713098,249.0,11.0,5.068257197574597,5.0,20.0,22.066717283432226,-0.18461439137135738,544.0071426749364,0.9511111111111111
