plate,well,row,col,species,stages,strains,treatment,conc,other,ImageNumber,ObjectNumber,Metadata_Date,Metadata_FileLocation,Metadata_Frame,Metadata_Plate,Metadata_Researcher,Metadata_Series,FileName_RawImage,FileName_WellMask,PathName_RawImage,PathName_WellMask,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,21,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3447,3990,441,197,420,7,430.04728749637366,101.54453147664636,4.13147089246387,0.9937086928633075,66.24844685501772,1,0.8639097744360902,0.24204454685232785,198.66426690663843,189.02380802428036,11,5.067639706805035,5,20,22.24954089606167,0.08072370818953609,423.03657992645924,0.9569683509161577
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,22,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3863,4473,462,220,441,7,450.6184312710329,112.7450168263008,4.693385644453608,0.995149497190204,70.13219204696182,1,0.8636262016543707,0.21306580702179173,224.69906801119288,212.00943375236866,11,5.028331789680638,5,20,22.104585364811292,0.052511835103035406,477.32085117392114,0.9489069024809629
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,23,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3424,3969,483,196,462,7,471.84959112149534,101.11273364485982,4.085667865096443,0.9937096698437313,66.02705658420037,1,0.8626858150667674,0.24475802561997895,198.03729628946323,188.0239346466295,11,5.021950020709325,5,20,22.177606139152164,0.05054477812079649,419.27922061357856,0.9585666293393057
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,24,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,4001,4620,504,227,483,7,492.73681579605096,117.23269182704324,4.693244007906321,0.9953561011406641,71.37388470922251,1,0.866017316017316,0.21307223709557452,230.85386737805788,219.02054698132775,11,5.0646419226744746,5,20,22.22228624243708,0.08850064103189172,485.76450198781714,0.965492277992278
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,25,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3381,3990,525,197,504,7,513.5403726708074,101.71813073055309,4.165589146959279,0.9938013583606986,65.61114921070644,1,0.8473684210526315,0.2400620811896348,197.47528731743546,189,10.770329614269007,4.9914884380319045,5,20,21.95340871000278,-0.1008695275691252,420.69343417595167,0.9586050467819677
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,26,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3408,3990,546,197,525,7,535.0140845070423,101.08890845070422,3.9807841402973976,0.9936770603321805,65.872607117507,1,0.8541353383458646,0.25120678860152706,197.11923940873407,189,11,5.07739145478814,5,20,22.13175936710018,-0.059380060823099594,412.8944443027283,0.9635284139100933
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,27,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,2973,3444,567,171,546,7,555.9004372687521,88.68146653212243,3.5544614135569503,0.991461349760314,61.5251263021673,1,0.8632404181184669,0.2813365749831842,170.88273384305214,163.02760502442524,11,5.07249418021024,5,20,22.28326045995214,0.06326948914219326,364.40916292848976,0.9636952998379255
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,28,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3348,3990,588,197,567,7,576.5044802867384,101.19623655913979,4.052124357865451,0.9939727470756857,65.29016768069542,1,0.8390977443609022,0.24678413387262696,197.96216661771413,189,10.198039027185569,4.982166296426406,5,20,21.702087773156684,-0.0301228987389856,412.8944443027283,0.9511363636363637
202111125-p02-NJW_1015,A01,A,01,Cel,Adult,N2,ML 228,5uM,48hr,27,29,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A01.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A01.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,3244,3801,609,188,588,7,597.9593094944513,96.56196054254008,3.8884324180651153,0.9930141548819433,64.26810315483777,1,0.8534596158905551,0.25717304365485155,187.65837320929316,180.00277775634464,11,5.038721507039911,5,20,22.142803962531744,-0.026796817006400332,398.1370849898476,0.9560860595343353
202111125-p02-NJW_1015,A02,A,02,Cel,Adult,N2,DMSO,1p,48hr,10,1,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A02.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A02.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,4835,5586,21,273,0,7,10.104860392967941,139.3023784901758,5.515828008604001,0.9967989645883621,78.46090235776359,1,0.8655567490153956,0.18129644333364367,278.5054993772692,265,11,5.091208420128302,5,20,22.266204111667356,0.004673552298806529,578.906637611548,0.9604688120778705
202111125-p02-NJW_1015,A02,A,02,Cel,Adult,N2,DMSO,1p,48hr,10,2,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A02.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A02.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,5706,6615,42,322,21,7,30.792499123729407,163.8191377497371,6.876183264619042,0.997750988787085,85.23558436626594,1,0.8625850340136054,0.14542951540361576,330.46328904350327,314,11,5.037283536838554,5,20,22.15081492625712,-0.033425435611623894,702.1736649163068,0.9559390182610152
202111125-p02-NJW_1015,A02,A,02,Cel,Adult,N2,DMSO,1p,48hr,10,3,20211112,file:/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1/202111125-p02-NJW_A02.TIF,0,p02,NJW,0,TimePoint_1/202111125-p02-NJW_A02.TIF,well_mask.png,/var/lib/condor/execute/slot1/dir_7615/input/202111125-p02-NJW_1015/TimePoint_1,/var/lib/condor/execute/slot1/dir_7615/Core_imgproc/cp_pipelines/masks,5016,5817,63,284,42,7,51.6877990430622,144.50219298245614,5.780704916187135,0.9970979968765471,79.91601564387189,1,0.8623001547189273,0.17298928322734466,290.76158498511757,276,11,5.078909318313897,5,20,22.135312285669773,-0.05097306132922418,603.6345596729059,0.9559748427672956
